E_c,E_p
12.607,0.088
12.582,0.112
12.554,0.139
12.523,0.169
12.489,0.201
12.452,0.237
12.412,0.276
12.370,0.317
12.324,0.361
12.276,0.408
12.224,0.457
12.170,0.510
12.114,0.565
12.054,0.622
11.992,0.682
11.928,0.745
11.860,0.810
11.791,0.878
11.718,0.948
11.644,1.020
11.567,1.095
11.488,1.172
11.406,1.251
11.323,1.333
11.237,1.416
11.149,1.502
11.059,1.589
10.967,1.679
10.873,1.770
10.778,1.864
10.681,1.959
10.582,2.055
10.481,2.154
10.379,2.254
10.275,2.355
10.170,2.458
10.064,2.563
9.956,2.669
9.847,2.776
9.737,2.884
9.626,2.993
9.514,3.104
9.401,3.215
9.287,3.327
9.172,3.441
9.057,3.555
8.941,3.670
8.824,3.785
8.708,3.901
8.590,4.018
8.473,4.135
8.355,4.253
8.237,4.371
8.119,4.489
8.001,4.607
7.883,4.726
7.765,4.844
7.647,4.963
7.529,5.081
7.412,5.200
7.294,5.318
7.177,5.435
7.061,5.553
6.944,5.670
6.829,5.786
6.714,5.902
6.599,6.016
6.485,6.131
6.373,6.244
6.261,6.357
6.149,6.468
6.039,6.579
5.930,6.688
5.822,6.797
5.716,6.904
5.610,7.010
5.506,7.114
5.403,7.217
5.302,7.319
5.202,7.419
5.104,7.518
5.007,7.615
4.912,7.710
4.819,7.804
4.727,7.895
4.638,7.985
4.550,8.074
4.464,8.160
4.380,8.244
4.297,8.327
4.217,8.407
4.139,8.485
4.063,8.561
3.990,8.635
3.918,8.707
3.848,8.777
3.781,8.844
3.716,8.909
3.653,8.972
3.592,9.033
3.534,9.091
3.478,9.148
3.424,9.201
3.373,9.253
3.323,9.302
3.277,9.349
3.232,9.394
3.189,9.436
3.149,9.477
3.111,9.515
3.076,9.550
3.042,9.584
3.011,9.615
2.981,9.645
2.954,9.672
2.929,9.697
2.906,9.720
2.885,9.741
2.865,9.761
2.848,9.778
2.833,9.794
2.819,9.807
2.807,9.819
2.796,9.830
2.788,9.838
2.781,9.845
2.775,9.851
2.772,9.855
2.769,9.857
2.769,9.857
2.770,9.857
2.772,9.854
2.776,9.850
2.782,9.845
2.789,9.837
2.798,9.828
2.808,9.818
2.821,9.806
2.835,9.792
2.850,9.776
2.868,9.758
2.888,9.739
2.909,9.717
2.933,9.694
2.958,9.668
2.986,9.641
3.015,9.611
3.047,9.579
3.081,9.545
3.117,9.509
3.155,9.471
3.196,9.431
3.239,9.388
3.284,9.343
3.331,9.295
3.381,9.246
3.433,9.194
3.488,9.139
3.544,9.083
3.603,9.024
3.664,8.963
3.728,8.899
3.794,8.834
3.862,8.766
3.932,8.696
4.004,8.623
4.079,8.549
4.156,8.472
4.235,8.394
4.316,8.313
4.399,8.230
4.484,8.145
4.571,8.059
4.660,7.970
4.750,7.879
4.843,7.787
4.937,7.693
5.033,7.597
5.131,7.500
5.231,7.401
5.332,7.300
5.434,7.198
5.538,7.094
5.644,6.989
5.751,6.883
5.859,6.775
5.968,6.666
6.078,6.556
6.190,6.445
6.302,6.333
6.416,6.220
6.531,6.106
6.646,5.991
6.762,5.876
6.879,5.760
6.996,5.643
7.114,5.525
7.232,5.408
7.351,5.290
7.470,5.171
7.590,5.052
7.709,4.933
7.829,4.814
7.949,4.695
8.069,4.576
8.188,4.457
8.308,4.339
8.427,4.220
8.546,4.102
8.665,3.984
8.783,3.867
8.900,3.751
9.017,3.634
9.134,3.519
9.249,3.405
9.364,3.291
9.478,3.178
9.590,3.066
9.702,2.955
9.813,2.846
9.922,2.737
10.031,2.630
10.138,2.524
10.243,2.420
10.347,2.317
10.450,2.215
10.551,2.115
10.650,2.017
10.748,1.920
10.844,1.826
10.938,1.733
11.031,1.642
11.121,1.553
11.209,1.466
11.296,1.380
11.380,1.298
11.462,1.217
11.542,1.138
11.619,1.062
11.694,0.988
11.767,0.917
11.838,0.847
11.906,0.781
11.971,0.716
12.034,0.655
12.094,0.596
12.152,0.539
12.207,0.485
12.259,0.434
12.308,0.386
12.355,0.340
12.399,0.297
12.440,0.257
12.477,0.220
12.513,0.186
12.545,0.154
12.574,0.126
12.600,0.100
12.623,0.077
12.643,0.057
12.660,0.041
12.674,0.027
12.685,0.016
12.693,0.008
12.697,0.003
12.699,0.002
12.698,0.003
12.693,0.007
12.685,0.014
12.675,0.024
12.661,0.037
12.644,0.054
12.624,0.073
12.601,0.095
12.575,0.120
12.546,0.148
12.514,0.178
12.479,0.212
12.442,0.249
12.401,0.288
12.357,0.330
12.311,0.375
12.261,0.423
12.209,0.473
12.154,0.526
12.097,0.582
12.037,0.641
11.974,0.701
11.908,0.765
11.840,0.831
11.770,0.899
11.697,0.970
11.622,1.043
11.544,1.119
11.464,1.196
11.382,1.276
11.298,1.358
11.211,1.442
11.123,1.529
11.032,1.617
10.940,1.707
10.845,1.799
10.749,1.893
10.651,1.988
10.552,2.086
10.451,2.185
10.348,2.285
10.244,2.387
10.138,2.491
10.031,2.595
9.923,2.702
9.814,2.809
9.704,2.918
9.592,3.027
9.480,3.138
9.366,3.250
9.252,3.363
9.137,3.476
9.022,3.590
8.906,3.706
8.789,3.821
8.672,3.938
8.555,4.054
8.437,4.172
8.319,4.289
8.201,4.407
8.083,4.526
7.965,4.644
7.847,4.763
7.729,4.881
7.611,5.000
7.494,5.118
7.376,5.237
7.259,5.355
7.142,5.472
7.025,5.589
6.909,5.706
6.794,5.822
6.679,5.938
6.564,6.052
6.451,6.166
6.338,6.280
6.227,6.392
6.116,6.503
6.006,6.613
5.897,6.722
5.790,6.830
5.683,6.937
5.578,7.043
5.475,7.147
5.372,7.249
5.271,7.351
5.172,7.450
5.074,7.549
4.978,7.645
4.884,7.740
4.791,7.833
4.700,7.924
4.611,8.014
4.523,8.101
4.438,8.187
4.354,8.271
4.273,8.352
4.193,8.432
4.116,8.510
4.041,8.585
3.967,8.658
3.896,8.730
3.827,8.799
3.761,8.865
3.696,8.930
3.634,8.992
3.574,9.052
3.517,9.110
3.461,9.165
3.408,9.219
3.357,9.269
3.309,9.318
3.263,9.364
3.219,9.408
3.177,9.450
3.137,9.490
3.100,9.527
3.065,9.562
3.032,9.595
3.001,9.626
2.973,9.654
2.946,9.681
2.922,9.706
2.899,9.728
2.879,9.749
2.860,9.767
2.843,9.784
2.828,9.799
2.815,9.812
2.803,9.824
2.794,9.834
2.785,9.842
2.779,9.848
2.774,9.853
2.771,9.856
2.769,9.858
2.769,9.858
2.770,9.857
2.773,9.854
2.778,9.850
2.784,9.844
2.791,9.836
2.801,9.826
2.812,9.815
2.825,9.803
2.839,9.788
2.856,9.772
2.874,9.753
2.894,9.733
2.916,9.711
2.940,9.687
2.966,9.661
2.994,9.633
3.025,9.603
3.057,9.570
3.092,9.536
3.129,9.499
3.168,9.460
3.209,9.419
3.253,9.375
3.298,9.329
3.347,9.281
3.397,9.231
3.450,9.178
3.505,9.123
3.562,9.066
3.622,9.006
3.684,8.944
3.748,8.880
3.815,8.814
3.883,8.745
3.954,8.675
4.027,8.602
4.103,8.526
4.180,8.449
4.260,8.370
4.341,8.289
4.425,8.205
4.510,8.120
4.598,8.032
4.688,7.943
4.779,7.852
4.872,7.759
4.967,7.664
5.064,7.568
5.162,7.470
5.262,7.370
5.363,7.269
5.467,7.167
5.571,7.063
5.677,6.957
5.784,6.850
5.893,6.742
6.002,6.633
6.113,6.523
6.225,6.411
6.338,6.299
6.452,6.186
6.566,6.071
6.682,5.956
6.798,5.841
6.915,5.724
7.033,5.607
7.151,5.490
7.269,5.372
7.388,5.254
7.508,5.135
7.627,5.016
7.747,4.897
7.867,4.778
7.986,4.659
8.106,4.540
8.226,4.421
8.345,4.303
8.464,4.184
8.583,4.066
8.702,3.949
8.820,3.832
8.937,3.715
9.054,3.599
9.170,3.484
9.285,3.370
9.400,3.256
9.513,3.144
9.626,3.032
9.737,2.922
9.848,2.812
9.957,2.704
10.065,2.598
10.171,2.492
10.276,2.388
10.380,2.285
10.482,2.184
10.583,2.085
10.682,1.987
10.779,1.891
10.874,1.797
10.968,1.705
11.060,1.614
11.149,1.526
11.237,1.439
11.323,1.355
11.406,1.273
11.488,1.192
11.567,1.115
11.644,1.039
11.718,0.966
11.790,0.895
11.860,0.827
11.927,0.761
11.992,0.697
12.054,0.636
12.113,0.578
12.170,0.522
12.224,0.469
12.275,0.419
12.324,0.371
12.370,0.327
12.413,0.285
12.453,0.245
12.490,0.209
12.524,0.176
12.555,0.145
12.583,0.117
12.608,0.093
12.630,0.071
12.650,0.052
12.666,0.036
12.679,0.023
12.689,0.013
12.695,0.006
12.699,0.003
12.700,0.002
12.698,0.004
12.692,0.009
12.683,0.017
12.672,0.028
12.657,0.042
12.639,0.059
12.618,0.079
12.595,0.102
12.568,0.128
12.538,0.157
12.505,0.189
12.469,0.223
12.430,0.261
12.389,0.301
12.344,0.344
12.297,0.390
12.247,0.438
12.194,0.489
12.138,0.543
12.080,0.600
12.018,0.659
11.955,0.721
11.889,0.785
11.820,0.852
11.749,0.921
11.675,0.992
11.599,1.066
11.520,1.143
11.440,1.221
11.357,1.302
11.272,1.384
11.185,1.469
11.096,1.556
11.005,1.645
10.912,1.735
10.817,1.828
10.720,1.922
10.622,2.019
10.521,2.116
10.420,2.216
10.317,2.317
10.212,2.419
10.106,2.523
9.999,2.628
9.890,2.735
9.781,2.843
9.670,2.952
9.558,3.062
9.445,3.173
9.332,3.285
9.217,3.398
9.102,3.512
8.987,3.626
8.870,3.742
8.754,3.857
8.636,3.974
8.519,4.091
8.401,4.208
8.283,4.326
8.165,4.444
8.047,4.563
7.929,4.681
7.811,4.800
7.693,4.919
7.575,5.037
7.458,5.155
7.340,5.274
7.223,5.391
7.106,5.509
6.990,5.626
6.874,5.742
6.758,5.858
6.644,5.974
6.530,6.088
6.416,6.202
6.304,6.315
6.193,6.427
6.082,6.538
5.973,6.648
5.864,6.757
5.757,6.864
5.651,6.971
5.546,7.076
5.443,7.179
5.341,7.282
5.241,7.382
5.142,7.482
5.045,7.579
4.949,7.675
4.855,7.769
4.763,7.862
4.672,7.953
4.583,8.042
4.497,8.129
4.412,8.214
4.329,8.297
4.248,8.378
4.169,8.457
4.092,8.534
4.018,8.609
3.945,8.681
3.875,8.752
3.807,8.820
3.741,8.886
3.677,8.950
3.616,9.012
3.556,9.071
3.499,9.128
3.445,9.183
3.392,9.235
3.342,9.286
3.294,9.333
3.249,9.379
3.205,9.422
3.164,9.463
3.126,9.502
3.089,9.539
3.055,9.573
3.022,9.606
2.992,9.636
2.964,9.664
2.938,9.690
2.915,9.714
2.893,9.735
2.873,9.755
2.855,9.774
2.838,9.790
2.824,9.804
2.811,9.817
2.800,9.828
2.791,9.837
2.783,9.845
2.777,9.851
2.773,9.855
2.770,9.858
2.769,9.859
2.769,9.859
2.771,9.857
2.774,9.854
2.779,9.849
2.786,9.842
2.794,9.834
2.804,9.824
2.816,9.812
2.829,9.799
2.844,9.784
2.861,9.767
2.880,9.748
2.901,9.727
2.923,9.705
2.948,9.680
2.975,9.653
3.004,9.625
3.035,9.594
3.068,9.561
3.103,9.525
3.141,9.488
3.180,9.448
3.222,9.406
3.267,9.362
3.313,9.315
3.362,9.267
3.413,9.215
3.467,9.162
3.522,9.106
3.581,9.048
3.641,8.988
3.704,8.926
3.769,8.861
3.836,8.794
3.905,8.724
3.977,8.653
4.051,8.579
4.127,8.504
4.205,8.426
4.285,8.346
4.367,8.264
4.451,8.180
4.538,8.094
4.626,8.006
4.716,7.916
4.808,7.824
4.901,7.731
4.997,7.635
5.094,7.539
5.193,7.440
5.293,7.340
5.395,7.238
5.499,7.135
5.604,7.031
5.710,6.925
5.818,6.818
5.927,6.709
6.037,6.600
6.148,6.489
6.260,6.377
6.373,6.264
6.487,6.151
6.602,6.036
6.718,5.921
6.835,5.805
6.952,5.689
7.070,5.571
7.188,5.454
7.307,5.336
7.426,5.217
7.545,5.099
7.665,4.980
7.784,4.861
7.904,4.742
8.024,4.623
8.144,4.504
8.263,4.385
8.383,4.266
8.502,4.148
8.621,4.030
8.739,3.913
8.857,3.796
8.974,3.679
9.090,3.564
9.206,3.449
9.321,3.335
9.436,3.222
9.549,3.109
9.661,2.998
9.772,2.888
9.882,2.779
9.991,2.671
10.098,2.565
10.205,2.460
10.309,2.356
10.412,2.254
10.514,2.154
10.614,2.055
10.713,1.958
10.809,1.862
10.904,1.768
10.997,1.677
11.088,1.587
11.177,1.499
11.265,1.413
11.350,1.329
11.432,1.248
11.513,1.168
11.592,1.091
11.668,1.016
11.742,0.944
11.813,0.874
11.882,0.806
11.948,0.741
12.012,0.678
12.073,0.618
12.132,0.561
12.188,0.506
12.241,0.453
12.292,0.404
12.339,0.357
12.384,0.313
12.426,0.272
12.465,0.234
12.501,0.198
12.535,0.166
12.565,0.136
12.592,0.109
12.616,0.086
12.638,0.065
12.656,0.047
12.671,0.032
12.683,0.020
12.692,0.011
12.698,0.005
12.701,0.002
12.700,0.002
12.697,0.005
12.691,0.011
12.681,0.020
12.668,0.032
12.653,0.047
12.634,0.065
12.612,0.086
12.587,0.110
12.560,0.137
12.529,0.166
12.495,0.199
12.458,0.234
12.419,0.273
12.376,0.314
12.331,0.358
12.282,0.404
12.231,0.454
12.177,0.506
12.121,0.561
12.062,0.618
12.000,0.678
11.935,0.741
11.868,0.806
11.799,0.873
11.727,0.943
11.652,1.015
11.576,1.090
11.496,1.167
11.415,1.246
11.332,1.327
11.246,1.410
11.158,1.496
11.068,1.583
10.977,1.673
10.883,1.764
10.787,1.857
10.690,1.952
10.591,2.049
10.491,2.147
10.389,2.247
10.285,2.349
10.180,2.451
10.074,2.556
9.966,2.661
9.857,2.768
9.747,2.877
9.636,2.986
9.524,3.096
9.411,3.208
9.297,3.320
9.182,3.433
9.067,3.547
8.951,3.662
8.835,3.778
8.718,3.894
8.600,4.011
8.483,4.128
8.365,4.245
8.247,4.363
8.129,4.481
8.011,4.600
7.893,4.718
7.775,4.837
7.657,4.956
7.539,5.074
7.421,5.192
7.304,5.311
7.187,5.428
7.070,5.546
6.954,5.663
6.838,5.779
6.723,5.895
6.608,6.010
6.495,6.124
6.382,6.238
6.270,6.350
6.158,6.462
6.048,6.573
5.939,6.682
5.831,6.791
5.724,6.898
5.619,7.004
5.514,7.108
5.411,7.212
5.310,7.314
5.210,7.414
5.112,7.513
5.015,7.610
4.920,7.705
4.826,7.799
4.734,7.891
4.645,7.981
4.556,8.069
4.470,8.156
4.386,8.240
4.304,8.323
4.223,8.403
4.145,8.482
4.069,8.558
3.995,8.632
3.923,8.704
3.854,8.774
3.786,8.842
3.721,8.907
3.658,8.970
3.597,9.031
3.538,9.090
3.482,9.146
3.428,9.200
3.377,9.252
3.327,9.301
3.280,9.348
3.235,9.393
3.193,9.436
3.152,9.476
3.114,9.515
3.078,9.550
3.044,9.584
3.013,9.616
2.983,9.645
2.956,9.673
2.931,9.698
2.908,9.721
2.886,9.743
2.867,9.762
2.849,9.779
2.834,9.795
2.820,9.809
2.808,9.821
2.797,9.832
2.788,9.840
2.781,9.848
2.776,9.853
2.772,9.857
2.770,9.859
2.769,9.860
2.769,9.859
2.772,9.857
2.776,9.853
2.781,9.848
2.788,9.840
2.797,9.832
2.808,9.821
2.820,9.809
2.834,9.795
2.849,9.780
2.867,9.762
2.886,9.743
2.908,9.721
2.931,9.698
2.956,9.673
2.984,9.645
3.013,9.616
3.045,9.584
3.078,9.551
3.114,9.515
3.153,9.476
3.193,9.436
3.236,9.393
3.281,9.348
3.328,9.301
3.378,9.252
3.430,9.200
3.484,9.146
3.540,9.089
3.599,9.031
3.660,8.970
3.724,8.906
3.789,8.841
3.857,8.773
3.927,8.703
4.000,8.631
4.074,8.557
4.151,8.480
4.229,8.402
4.310,8.321
4.393,8.238
4.478,8.154
4.565,8.067
4.654,7.978
4.744,7.888
4.837,7.796
4.931,7.702
5.027,7.606
5.125,7.509
5.224,7.410
5.325,7.309
5.428,7.207
5.532,7.103
5.637,6.998
5.744,6.892
5.852,6.784
5.961,6.676
6.071,6.566
6.183,6.455
6.295,6.343
6.409,6.230
6.523,6.116
6.639,6.001
6.755,5.886
6.871,5.769
6.989,5.653
7.107,5.535
7.225,5.418
7.344,5.299
7.463,5.181
7.582,5.062
7.702,4.943
7.822,4.824
7.942,4.705
8.062,4.586
8.181,4.467
8.301,4.348
8.420,4.230
8.539,4.112
8.658,3.994
8.776,3.876
8.894,3.760
9.011,3.644
9.127,3.528
9.243,3.414
9.357,3.300
9.471,3.187
9.584,3.075
9.696,2.964
9.807,2.854
9.917,2.746
10.025,2.638
10.132,2.532
10.238,2.428
10.342,2.325
10.445,2.223
10.546,2.123
10.646,2.024
10.743,1.928
10.840,1.833
10.934,1.740
11.026,1.649
11.117,1.559
11.205,1.472
11.292,1.387
11.376,1.304
11.458,1.223
11.538,1.144
11.616,1.068
11.692,0.994
11.765,0.922
11.835,0.852
11.903,0.785
11.969,0.721
12.032,0.659
12.093,0.600
12.150,0.543
12.205,0.489
12.258,0.438
12.307,0.389
12.354,0.343
12.398,0.300
12.439,0.260
12.477,0.223
12.513,0.188
12.545,0.156
12.574,0.128
12.601,0.102
12.624,0.079
12.644,0.059
12.661,0.042
12.676,0.028
12.687,0.017
12.695,0.009
12.700,0.004
12.702,0.002
12.700,0.003
12.696,0.007
12.689,0.014
12.678,0.023
12.664,0.036
12.648,0.052
12.628,0.071
12.605,0.093
12.580,0.118
12.551,0.146
12.519,0.176
12.484,0.210
12.447,0.246
12.406,0.285
12.363,0.327
12.316,0.372
12.267,0.420
12.215,0.470
12.161,0.523
12.103,0.578
12.043,0.636
11.981,0.697
11.915,0.761
11.847,0.826
11.777,0.895
11.704,0.965
11.629,1.038
11.552,1.114
11.472,1.191
11.390,1.271
11.306,1.353
11.219,1.437
11.131,1.523
11.040,1.611
10.948,1.701
10.854,1.793
10.758,1.887
10.660,1.982
10.561,2.079
10.460,2.178
10.357,2.279
10.253,2.381
10.147,2.484
10.041,2.589
9.933,2.695
9.823,2.802
9.713,2.911
9.601,3.020
9.489,3.131
9.376,3.243
9.262,3.355
9.147,3.469
9.031,3.583
8.915,3.698
8.799,3.814
8.682,3.930
8.564,4.047
8.446,4.164
8.329,4.282
8.211,4.400
8.092,4.518
7.974,4.637
7.856,4.756
7.738,4.874
7.620,4.993
7.503,5.111
7.385,5.230
7.268,5.348
7.151,5.465
7.034,5.582
6.918,5.699
6.802,5.815
6.687,5.931
6.573,6.046
6.460,6.160
6.347,6.273
6.235,6.385
6.124,6.497
6.014,6.607
5.905,6.716
5.798,6.824
5.691,6.931
5.586,7.037
5.482,7.141
5.380,7.244
5.279,7.345
5.179,7.445
5.081,7.543
4.985,7.640
4.890,7.735
4.798,7.828
4.706,7.920
4.617,8.009
4.529,8.097
4.444,8.183
4.360,8.267
4.279,8.348
4.199,8.428
4.121,8.506
4.046,8.582
3.973,8.655
3.901,8.727
3.832,8.796
3.766,8.863
3.701,8.927
3.639,8.990
3.579,9.050
3.521,9.108
3.465,9.164
3.412,9.217
3.361,9.268
3.312,9.317
3.266,9.363
3.222,9.407
3.180,9.449
3.140,9.489
3.103,9.526
3.067,9.562
3.034,9.595
3.004,9.626
2.975,9.654
2.948,9.681
2.923,9.706
2.901,9.729
2.880,9.749
2.861,9.768
2.844,9.785
2.829,9.800
2.816,9.814
2.804,9.825
2.794,9.835
2.786,9.843
2.779,9.850
2.774,9.855
2.771,9.858
2.769,9.860
2.769,9.860
2.770,9.859
2.773,9.856
2.777,9.852
2.783,9.846
2.791,9.838
2.800,9.829
2.811,9.818
2.824,9.806
2.838,9.791
2.854,9.775
2.873,9.757
2.893,9.737
2.915,9.715
2.939,9.691
2.964,9.665
2.993,9.637
3.023,9.607
3.055,9.574
3.089,9.540
3.126,9.503
3.165,9.465
3.206,9.423
3.250,9.380
3.295,9.334
3.343,9.286
3.394,9.236
3.446,9.184
3.501,9.129
3.558,9.072
3.618,9.012
3.680,8.951
3.744,8.887
3.810,8.820
3.879,8.752
3.950,8.681
4.023,8.608
4.098,8.533
4.175,8.456
4.254,8.377
4.336,8.296
4.419,8.213
4.505,8.127
4.592,8.040
4.682,7.951
4.773,7.860
4.866,7.767
4.961,7.673
5.058,7.576
5.156,7.478
5.256,7.379
5.357,7.278
5.460,7.175
5.564,7.071
5.670,6.966
5.777,6.859
5.886,6.751
5.995,6.642
6.106,6.532
6.218,6.420
6.331,6.308
6.445,6.195
6.559,6.080
6.675,5.965
6.791,5.850
6.908,5.733
7.026,5.616
7.144,5.499
7.262,5.381
7.381,5.263
7.500,5.144
7.620,5.025
7.740,4.906
7.860,4.787
7.979,4.668
8.099,4.549
8.219,4.430
8.338,4.311
8.458,4.193
8.576,4.075
8.695,3.957
8.813,3.840
8.930,3.724
9.047,3.608
9.163,3.493
9.279,3.378
9.393,3.265
9.507,3.152
9.620,3.040
9.731,2.930
9.842,2.820
9.951,2.712
10.059,2.605
10.165,2.500
10.271,2.396
10.375,2.293
10.477,2.192
10.578,2.092
10.677,1.994
10.774,1.898
10.870,1.804
10.963,1.711
11.055,1.621
11.145,1.532
11.233,1.445
11.319,1.361
11.402,1.278
11.484,1.198
11.563,1.120
11.640,1.044
11.715,0.971
11.787,0.900
11.857,0.831
11.925,0.765
11.989,0.702
12.052,0.640
12.111,0.582
12.168,0.526
12.223,0.473
12.274,0.422
12.323,0.375
12.369,0.330
12.412,0.287
12.452,0.248
12.489,0.212
12.524,0.178
12.555,0.147
12.583,0.119
12.609,0.094
12.631,0.072
12.650,0.053
12.667,0.037
12.680,0.024
12.690,0.014
12.697,0.007
12.701,0.003
12.702,0.002
12.700,0.004
12.694,0.008
12.686,0.016
12.675,0.027
12.660,0.041
12.642,0.058
12.622,0.078
12.598,0.101
12.571,0.126
12.542,0.155
12.509,0.186
12.473,0.221
12.435,0.258
12.393,0.298
12.349,0.341
12.302,0.387
12.252,0.435
12.199,0.486
12.144,0.540
12.085,0.596
12.024,0.655
11.961,0.717
11.895,0.781
11.826,0.847
11.755,0.916
11.682,0.988
11.606,1.062
11.527,1.138
11.447,1.216
11.364,1.296
11.279,1.379
11.192,1.464
11.103,1.550
11.012,1.639
10.919,1.730
10.824,1.822
10.728,1.916
10.630,2.012
10.530,2.110
10.428,2.209
10.325,2.310
10.220,2.413
10.115,2.517
10.007,2.622
9.899,2.728
9.789,2.836
9.679,2.945
9.567,3.055
9.454,3.166
9.341,3.278
9.226,3.391
9.111,3.505
8.995,3.619
8.879,3.734
8.762,3.850
8.645,3.967
8.528,4.084
8.410,4.201
8.292,4.319
8.174,4.437
8.056,4.556
7.938,4.674
7.820,4.793
7.702,4.911
7.584,5.030
7.466,5.148
7.349,5.267
7.231,5.384
7.115,5.502
6.998,5.619
6.882,5.736
6.767,5.852
6.652,5.967
6.538,6.082
6.424,6.195
6.312,6.308
6.200,6.420
6.090,6.532
5.980,6.642
5.872,6.750
5.765,6.858
5.659,6.965
5.554,7.070
5.450,7.174
5.348,7.276
5.248,7.377
5.149,7.476
5.051,7.574
4.955,7.670
4.861,7.765
4.769,7.857
4.678,7.948
4.590,8.037
4.503,8.124
4.418,8.209
4.335,8.293
4.254,8.374
4.175,8.453
4.098,8.530
4.023,8.605
3.950,8.678
3.880,8.749
3.811,8.817
3.745,8.883
3.681,8.947
3.620,9.009
3.560,9.069
3.503,9.126
3.448,9.181
3.396,9.233
3.345,9.284
3.298,9.332
3.252,9.378
3.208,9.421
3.167,9.462
3.128,9.501
3.091,9.538
3.057,9.573
3.025,9.605
2.994,9.635
2.966,9.663
2.940,9.689
2.916,9.714
2.894,9.736
2.874,9.756
2.856,9.774
2.839,9.790
2.825,9.805
2.812,9.818
2.801,9.829
2.792,9.838
2.784,9.846
2.778,9.852
2.773,9.857
2.770,9.859
2.769,9.861
2.769,9.861
2.771,9.859
2.774,9.856
2.779,9.851
2.785,9.844
2.794,9.836
2.803,9.826
2.815,9.815
2.828,9.802
2.843,9.787
2.860,9.770
2.879,9.751
2.899,9.730
2.922,9.708
2.946,9.683
2.973,9.657
3.002,9.628
3.033,9.597
3.066,9.564
3.101,9.529
3.138,9.492
3.178,9.452
3.220,9.410
3.264,9.366
3.310,9.320
3.359,9.271
3.410,9.220
3.463,9.167
3.519,9.112
3.577,9.054
3.637,8.994
3.700,8.931
3.764,8.866
3.831,8.800
3.901,8.730
3.972,8.659
4.046,8.586
4.122,8.510
4.200,8.432
4.280,8.352
4.362,8.270
4.446,8.186
4.532,8.101
4.620,8.013
4.710,7.923
4.802,7.831
4.896,7.738
4.991,7.643
5.088,7.546
5.187,7.448
5.287,7.348
5.389,7.246
5.493,7.143
5.597,7.039
5.704,6.933
5.811,6.826
5.920,6.717
6.030,6.608
6.141,6.497
6.253,6.385
6.366,6.273
6.481,6.159
6.595,6.045
6.711,5.930
6.828,5.814
6.945,5.697
7.063,5.580
7.181,5.462
7.300,5.344
7.419,5.226
7.538,5.107
7.658,4.988
7.777,4.869
7.897,4.750
8.017,4.631
8.137,4.512
8.256,4.393
8.376,4.275
8.495,4.156
8.614,4.038
8.732,3.921
8.850,3.804
8.967,3.688
9.084,3.572
9.200,3.457
9.315,3.343
9.429,3.229
9.542,3.117
9.655,3.006
9.766,2.896
9.876,2.787
9.985,2.679
10.093,2.572
10.199,2.467
10.304,2.363
10.407,2.261
10.509,2.160
10.609,2.061
10.708,1.964
10.804,1.868
10.899,1.775
10.993,1.683
11.084,1.593
11.173,1.505
11.260,1.419
11.345,1.335
11.429,1.253
11.509,1.174
11.588,1.096
11.664,1.021
11.738,0.949
11.810,0.878
11.879,0.810
11.945,0.745
12.010,0.682
12.071,0.622
12.130,0.564
12.186,0.509
12.239,0.457
12.290,0.407
12.338,0.360
12.383,0.316
12.425,0.275
12.464,0.236
12.501,0.201
12.534,0.168
12.564,0.138
12.592,0.111
12.616,0.087
12.638,0.066
12.656,0.048
12.672,0.033
12.684,0.021
12.693,0.011
12.699,0.005
12.702,0.002
12.702,0.002
12.699,0.005
12.693,0.011
12.683,0.019
12.671,0.031
12.655,0.046
12.637,0.064
12.615,0.085
12.591,0.108
12.563,0.135
12.532,0.164
12.499,0.197
12.462,0.232
12.423,0.270
12.380,0.311
12.335,0.355
12.287,0.401
12.236,0.451
12.182,0.503
12.126,0.557
12.067,0.614
12.005,0.674
11.941,0.737
11.874,0.801
11.805,0.869
11.733,0.938
11.658,1.011
11.582,1.085
11.503,1.162
11.422,1.241
11.338,1.322
11.253,1.405
11.165,1.491
11.075,1.578
10.984,1.667
10.890,1.758
10.795,1.851
10.698,1.946
10.599,2.043
10.498,2.141
10.396,2.241
10.293,2.342
10.188,2.445
10.081,2.549
9.974,2.655
9.865,2.762
9.755,2.870
9.644,2.979
9.532,3.090
9.419,3.201
9.305,3.313
9.191,3.426
9.075,3.541
8.959,3.655
8.843,3.771
8.726,3.887
8.609,4.004
8.491,4.121
8.373,4.238
8.255,4.356
8.137,4.474
8.019,4.593
7.901,4.711
7.783,4.830
7.665,4.949
7.547,5.067
7.430,5.186
7.312,5.304
7.195,5.421
7.078,5.539
6.962,5.656
6.846,5.772
6.731,5.888
6.616,6.003
6.502,6.117
6.389,6.231
6.277,6.344
6.166,6.456
6.056,6.566
5.946,6.676
5.838,6.784
5.731,6.892
5.626,6.998
5.521,7.103
5.418,7.206
5.317,7.308
5.217,7.408
5.118,7.507
5.021,7.604
4.926,7.700
4.832,7.794
4.741,7.886
4.650,7.976
4.562,8.065
4.476,8.151
4.392,8.236
4.309,8.319
4.229,8.399
4.150,8.478
4.074,8.554
4.000,8.628
3.928,8.701
3.858,8.771
3.790,8.838
3.725,8.904
3.662,8.967
3.601,9.028
3.542,9.087
3.486,9.144
3.432,9.198
3.380,9.250
3.330,9.299
3.283,9.347
3.238,9.392
3.195,9.434
3.155,9.475
3.117,9.513
3.080,9.549
3.047,9.583
3.015,9.615
