E_c,E_p
7.202,2.597
7.121,2.679
7.040,2.761
6.958,2.844
6.875,2.927
6.793,3.010
6.710,3.093
6.627,3.177
6.544,3.260
6.461,3.344
6.378,3.428
6.294,3.512
6.211,3.595
6.128,3.679
6.045,3.762
5.962,3.846
5.880,3.928
5.798,4.011
5.716,4.093
5.635,4.175
5.554,4.256
5.473,4.337
5.393,4.417
5.314,4.497
5.235,4.576
5.157,4.654
5.080,4.732
5.004,4.809
4.928,4.885
4.853,4.960
4.779,5.034
4.707,5.107
4.635,5.179
4.564,5.250
4.494,5.320
4.425,5.389
4.357,5.457
4.291,5.524
4.226,5.589
4.162,5.654
4.099,5.716
4.037,5.778
3.977,5.838
3.919,5.897
3.861,5.955
3.805,6.011
3.751,6.066
3.697,6.119
3.646,6.171
3.596,6.221
3.547,6.270
3.500,6.317
3.454,6.363
3.410,6.407
3.367,6.450
3.326,6.491
3.287,6.530
3.249,6.568
3.212,6.605
3.178,6.640
3.144,6.673
3.113,6.705
3.082,6.735
3.054,6.764
3.026,6.791
3.001,6.817
2.977,6.841
2.954,6.864
2.933,6.885
2.913,6.905
2.894,6.923
2.877,6.941
2.861,6.956
2.847,6.971
2.834,6.984
2.822,6.996
2.811,7.006
2.802,7.016
2.794,7.024
2.787,7.031
2.781,7.037
2.776,7.041
2.773,7.045
2.770,7.047
2.769,7.049
2.769,7.049
2.770,7.048
2.772,7.046
2.775,7.043
2.779,7.038
2.785,7.033
2.791,7.026
2.799,7.019
2.808,7.010
2.818,6.999
2.830,6.988
2.842,6.975
2.857,6.961
2.872,6.946
2.889,6.929
2.907,6.911
2.926,6.892
2.947,6.871
2.969,6.848
2.993,6.825
3.018,6.799
3.045,6.773
3.073,6.744
3.103,6.715
3.135,6.683
3.167,6.651
3.202,6.616
3.238,6.580
3.275,6.543
3.315,6.504
3.355,6.463
3.398,6.421
3.442,6.377
3.487,6.331
3.534,6.285
3.582,6.236
3.632,6.186
3.684,6.135
3.737,6.082
3.791,6.028
3.847,5.972
3.905,5.915
3.964,5.856
4.024,5.796
4.085,5.735
4.148,5.672
4.212,5.608
4.278,5.543
4.344,5.476
4.412,5.409
4.481,5.340
4.551,5.270
4.623,5.199
4.695,5.127
4.768,5.054
4.843,4.980
4.918,4.905
4.994,4.829
5.071,4.752
5.149,4.674
5.228,4.596
5.307,4.517
5.387,4.437
5.468,4.357
5.549,4.276
5.631,4.195
5.713,4.113
5.796,4.030
5.879,3.948
5.963,3.864
6.047,3.781
6.131,3.697
6.215,3.614
6.300,3.530
6.384,3.446
6.469,3.362
6.553,3.277
6.638,3.193
6.722,3.110
6.807,3.026
6.891,2.942
6.975,2.859
7.058,2.776
7.141,2.694
7.224,2.611
7.306,2.530
7.388,2.449
7.469,2.368
7.550,2.288
7.630,2.209
7.709,2.130
7.788,2.052
7.866,1.975
7.942,1.899
8.018,1.824
8.093,1.750
8.167,1.677
8.240,1.604
8.312,1.533
8.383,1.463
8.453,1.395
8.521,1.327
8.588,1.261
8.654,1.196
8.718,1.132
8.782,1.070
8.843,1.009
8.903,0.950
8.962,0.892
9.019,0.836
9.075,0.781
9.129,0.728
9.181,0.677
9.232,0.627
9.281,0.579
9.328,0.532
9.374,0.488
9.418,0.445
9.460,0.404
9.500,0.365
9.538,0.328
9.574,0.293
9.609,0.259
9.641,0.228
9.672,0.198
9.700,0.171
9.727,0.145
9.751,0.122
9.774,0.100
9.794,0.081
9.812,0.064
9.829,0.048
9.843,0.035
9.855,0.024
9.865,0.015
9.873,0.008
9.879,0.003
9.883,0.001
9.884,0.000
9.884,0.002
9.881,0.005
9.877,0.011
9.870,0.019
9.861,0.029
9.850,0.041
9.837,0.055
9.822,0.071
9.805,0.089
9.785,0.110
9.764,0.132
9.740,0.157
9.715,0.183
9.688,0.212
9.658,0.242
9.627,0.275
9.593,0.309
9.558,0.345
9.521,0.383
9.482,0.423
9.441,0.465
9.398,0.509
9.353,0.555
9.307,0.602
9.259,0.651
9.209,0.702
9.157,0.755
9.104,0.809
9.049,0.865
8.993,0.922
8.935,0.981
8.875,1.041
8.814,1.103
8.752,1.167
8.688,1.231
8.623,1.297
8.556,1.365
8.488,1.434
8.419,1.503
8.349,1.575
8.277,1.647
8.205,1.720
8.131,1.795
8.056,1.870
7.981,1.947
7.904,2.024
7.827,2.102
7.748,2.181
7.669,2.261
7.589,2.342
7.509,2.423
7.428,2.505
7.346,2.587
7.264,2.670
7.181,2.754
7.098,2.838
7.014,2.922
6.930,3.006
6.846,3.091
6.761,3.176
6.676,3.262
6.592,3.347
6.507,3.432
6.422,3.518
6.337,3.603
6.252,3.688
6.167,3.774
6.083,3.859
5.999,3.943
5.915,4.028
5.831,4.112
5.748,4.196
5.665,4.279
5.582,4.362
5.501,4.444
5.419,4.526
5.339,4.607
5.259,4.687
5.179,4.767
5.101,4.846
5.023,4.924
4.946,5.001
4.870,5.077
4.795,5.152
4.721,5.227
4.648,5.300
4.576,5.372
4.505,5.444
4.435,5.514
4.366,5.582
4.299,5.650
4.233,5.716
4.168,5.782
4.104,5.845
4.042,5.908
3.981,5.969
3.922,6.029
3.863,6.087
3.807,6.144
3.752,6.199
3.698,6.253
3.646,6.305
3.595,6.356
3.546,6.405
3.498,6.453
3.452,6.499
3.407,6.544
3.364,6.587
3.323,6.628
3.283,6.668
3.245,6.706
3.209,6.743
3.174,6.778
3.140,6.811
3.108,6.843
3.078,6.874
3.049,6.902
3.022,6.930
2.996,6.955
2.972,6.980
2.950,7.002
2.928,7.023
2.909,7.043
2.890,7.062
2.873,7.079
2.858,7.094
2.843,7.108
2.830,7.121
2.819,7.133
2.808,7.143
2.799,7.152
2.791,7.160
2.785,7.167
2.779,7.173
2.775,7.177
2.772,7.180
2.770,7.182
2.769,7.183
2.769,7.183
2.770,7.181
2.773,7.179
2.777,7.175
2.781,7.171
2.787,7.165
2.794,7.157
2.803,7.149
2.812,7.139
2.823,7.128
2.836,7.116
2.849,7.103
2.864,7.088
2.880,7.072
2.897,7.054
2.916,7.036
2.937,7.015
2.959,6.993
2.982,6.970
3.007,6.945
3.033,6.919
3.061,6.891
3.090,6.862
3.121,6.831
3.154,6.798
3.188,6.764
3.224,6.728
3.261,6.691
3.300,6.652
3.341,6.611
3.383,6.569
3.427,6.526
3.472,6.480
3.519,6.433
3.568,6.385
3.618,6.335
3.670,6.283
3.723,6.230
3.778,6.176
3.834,6.120
3.891,6.062
3.950,6.003
4.011,5.943
4.073,5.881
4.136,5.818
4.201,5.753
4.267,5.688
4.334,5.620
4.403,5.552
4.472,5.483
4.543,5.412
4.615,5.340
4.689,5.267
4.763,5.193
4.838,5.118
4.914,5.042
4.992,4.965
5.070,4.888
5.149,4.809
5.228,4.729
5.309,4.649
5.390,4.568
5.472,4.487
5.555,4.405
5.638,4.322
5.722,4.239
5.806,4.155
5.890,4.071
5.975,3.986
6.061,3.901
6.146,3.816
6.232,3.731
6.318,3.645
6.405,3.559
6.491,3.474
6.577,3.388
6.663,3.302
6.750,3.217
6.836,3.131
6.921,3.046
7.007,2.961
7.093,2.876
7.178,2.792
7.262,2.708
7.346,2.624
7.430,2.541
7.513,2.458
7.596,2.377
7.678,2.295
7.759,2.215
7.840,2.135
7.919,2.056
7.998,1.978
8.076,1.901
8.153,1.825
8.229,1.749
8.304,1.675
8.378,1.602
8.451,1.530
8.522,1.459
8.593,1.390
8.662,1.321
8.730,1.254
8.796,1.189
8.861,1.125
8.925,1.062
8.987,1.001
9.048,0.941
9.107,0.882
9.165,0.826
9.221,0.771
9.275,0.717
9.328,0.666
9.379,0.616
9.428,0.568
9.475,0.521
9.521,0.477
9.564,0.434
9.606,0.393
9.646,0.354
9.684,0.317
9.720,0.282
9.755,0.249
9.787,0.218
9.817,0.189
9.845,0.162
9.871,0.137
9.895,0.114
9.917,0.093
9.937,0.074
9.955,0.057
9.970,0.043
9.984,0.030
9.995,0.020
10.005,0.012
10.012,0.006
10.017,0.002
10.019,0.000
10.020,0.001
10.019,0.003
10.015,0.008
10.009,0.015
10.001,0.024
9.991,0.035
9.979,0.048
9.964,0.064
9.948,0.081
9.929,0.101
9.909,0.123
9.886,0.147
9.861,0.172
9.834,0.200
9.805,0.230
9.774,0.262
9.741,0.296
9.706,0.332
9.669,0.370
9.630,0.410
9.590,0.452
9.547,0.496
9.502,0.541
9.456,0.589
9.408,0.638
9.358,0.689
9.306,0.741
9.253,0.796
9.198,0.852
9.141,0.909
9.083,0.969
9.023,1.030
8.961,1.092
8.898,1.156
8.834,1.221
8.768,1.288
8.701,1.356
8.632,1.425
8.563,1.496
8.491,1.568
8.419,1.641
8.346,1.715
8.271,1.791
8.195,1.867
8.119,1.945
8.041,2.023
7.963,2.102
7.883,2.183
7.803,2.264
7.722,2.345
7.640,2.428
7.558,2.511
7.474,2.595
7.391,2.679
7.307,2.764
7.222,2.849
7.137,2.935
7.051,3.021
6.966,3.108
6.879,3.194
6.793,3.281
6.707,3.368
6.620,3.455
6.534,3.542
6.447,3.629
6.361,3.716
6.274,3.803
6.188,3.890
6.102,3.977
6.016,4.063
5.930,4.149
5.845,4.235
5.761,4.320
5.676,4.404
5.592,4.489
5.509,4.572
5.427,4.655
5.345,4.738
5.263,4.819
5.183,4.900
5.103,4.980
5.024,5.059
4.946,5.137
4.869,5.215
4.793,5.291
4.718,5.366
4.644,5.441
4.571,5.514
4.500,5.586
4.429,5.656
4.360,5.726
4.292,5.794
4.225,5.861
4.159,5.927
4.095,5.991
4.032,6.054
3.971,6.116
3.911,6.176
3.852,6.235
3.795,6.292
3.740,6.348
3.686,6.402
3.633,6.454
3.583,6.505
3.533,6.555
3.485,6.602
3.439,6.649
3.395,6.693
3.352,6.736
3.311,6.778
3.271,6.817
3.233,6.855
3.196,6.892
3.162,6.927
3.128,6.960
3.097,6.992
3.067,7.022
3.038,7.050
3.012,7.077
2.986,7.102
2.963,7.126
2.940,7.148
2.919,7.169
2.900,7.189
2.882,7.206
2.866,7.223
2.851,7.238
2.837,7.252
2.825,7.264
2.813,7.275
2.804,7.285
2.795,7.294
2.788,7.301
2.782,7.307
2.777,7.312
2.773,7.316
2.770,7.318
2.769,7.320
2.769,7.320
2.770,7.319
2.772,7.317
2.775,7.314
2.779,7.309
2.785,7.304
2.792,7.297
2.800,7.289
2.809,7.280
2.820,7.269
2.832,7.257
2.845,7.244
2.859,7.229
2.875,7.214
2.892,7.196
2.911,7.178
2.931,7.157
2.953,7.136
2.976,7.113
3.001,7.088
3.027,7.062
3.055,7.034
3.085,7.004
3.116,6.973
3.148,6.941
3.182,6.907
3.218,6.871
3.256,6.833
3.295,6.794
3.336,6.754
3.378,6.711
3.422,6.667
3.468,6.622
3.515,6.574
3.564,6.525
3.615,6.475
3.667,6.423
3.721,6.369
3.776,6.314
3.833,6.258
3.891,6.200
3.951,6.140
4.012,6.079
4.075,6.016
4.139,5.952
4.204,5.887
4.271,5.820
4.339,5.752
4.409,5.683
4.479,5.613
4.551,5.541
4.624,5.468
4.699,5.394
4.774,5.319
4.850,5.243
4.928,5.166
5.006,5.088
5.086,5.009
5.166,4.929
5.247,4.848
5.329,4.766
5.411,4.684
5.495,4.601
5.579,4.518
5.663,4.433
5.749,4.349
5.834,4.263
5.920,4.178
6.007,4.091
6.094,4.005
6.181,3.918
6.269,3.831
6.356,3.744
6.444,3.657
6.532,3.569
6.620,3.482
6.708,3.394
6.796,3.307
6.884,3.220
6.972,3.133
7.059,3.046
7.146,2.959
7.233,2.873
7.319,2.787
7.405,2.702
7.491,2.617
7.576,2.533
7.660,2.449
7.744,2.366
7.827,2.284
7.910,2.202
7.991,2.121
8.072,2.041
8.152,1.962
8.230,1.884
8.308,1.807
8.385,1.731
8.461,1.656
8.535,1.583
8.609,1.510
8.681,1.439
8.752,1.369
8.822,1.300
