Symplectic Euler,,
E_c,E_p,E_m
37.943,0.014,37.957
37.930,0.002,37.932
37.867,0.040,37.907
37.753,0.129,37.882
37.589,0.268,37.857
37.376,0.456,37.832
37.114,0.694,37.808
36.803,0.981,37.784
36.446,1.315,37.760
36.043,1.695,37.738
35.595,2.121,37.715
35.103,2.591,37.694
34.570,3.103,37.673
33.997,3.656,37.653
33.386,4.249,37.634
32.738,4.879,37.617
32.056,5.544,37.600
31.341,6.243,37.584
30.596,6.973,37.569
29.824,7.731,37.555
29.026,8.517,37.543
28.205,9.326,37.532
27.364,10.158,37.522
26.506,11.008,37.513
25.632,11.875,37.506
24.745,12.755,37.500
23.849,13.647,37.496
22.946,14.547,37.493
22.038,15.453,37.491
21.129,16.361,37.490
20.221,17.270,37.491
19.317,18.176,37.494
18.420,19.077,37.497
17.532,19.970,37.502
16.656,20.853,37.508
15.794,21.722,37.516
14.949,22.576,37.525
14.123,23.411,37.535
13.319,24.227,37.546
12.539,25.019,37.558
11.784,25.787,37.571
11.058,26.527,37.585
10.361,27.239,37.600
9.695,27.921,37.616
9.062,28.570,37.632
8.463,29.186,37.650
7.900,29.768,37.667
7.372,30.313,37.686
6.882,30.822,37.704
6.429,31.294,37.723
6.013,31.728,37.742
5.636,32.125,37.760
5.295,32.484,37.779
4.992,32.806,37.797
4.724,33.091,37.815
4.492,33.341,37.832
4.294,33.555,37.849
4.128,33.737,37.865
3.995,33.886,37.881
3.891,34.005,37.896
3.816,34.094,37.910
3.770,34.154,37.924
3.751,34.187,37.938
3.759,34.193,37.951
3.794,34.171,37.965
3.857,34.122,37.979
3.949,34.045,37.994
4.070,33.938,38.009
4.223,33.801,38.024
4.408,33.633,38.041
4.626,33.432,38.058
4.879,33.196,38.075
5.168,32.926,38.093
5.493,32.619,38.112
5.856,32.275,38.130
6.256,31.893,38.149
6.694,31.474,38.168
7.169,31.018,38.187
7.682,30.524,38.205
8.231,29.993,38.224
8.815,29.426,38.241
9.434,28.824,38.259
10.087,28.188,38.275
10.772,27.519,38.291
11.486,26.820,38.306
12.230,26.090,38.320
13.000,25.333,38.333
13.795,24.551,38.345
14.612,23.744,38.356
15.449,22.917,38.366
16.304,22.070,38.375
17.175,21.207,38.382
18.059,20.329,38.388
18.953,19.440,38.393
19.854,18.542,38.396
20.761,17.638,38.399
21.670,16.730,38.399
22.578,15.821,38.399
23.483,14.913,38.397
24.383,14.011,38.394
25.274,13.115,38.389
26.153,12.230,38.383
27.018,11.357,38.376
27.867,10.500,38.367
28.696,9.661,38.357
29.503,8.842,38.346
30.286,8.047,38.333
31.043,7.277,38.319
31.770,6.535,38.305
32.465,5.823,38.289
33.127,5.144,38.272
33.754,4.500,38.254
34.343,3.892,38.235
34.892,3.322,38.215
