Explicict Eueler,,
E_c,E_p,E_m
6.791,42.650,49.441
6.275,43.195,49.470
5.811,43.688,49.499
5.399,44.128,49.527
5.036,44.517,49.554
4.723,44.856,49.579
4.457,45.147,49.604
4.237,45.390,49.627
4.060,45.589,49.649
3.925,45.745,49.669
3.829,45.860,49.689
3.771,45.937,49.708
3.750,45.976,49.726
3.766,45.979,49.744
3.818,45.945,49.763
3.909,45.874,49.782
4.039,45.764,49.802
4.210,45.613,49.824
4.426,45.421,49.846
4.687,45.183,49.870
4.997,44.899,49.896
5.357,44.566,49.922
5.768,44.182,49.950
6.232,43.746,49.979
6.750,43.258,50.008
7.322,42.716,50.038
7.948,42.122,50.069
8.627,41.474,50.101
9.359,40.774,50.133
10.143,40.022,50.165
10.977,39.221,50.198
11.861,38.371,50.232
12.791,37.474,50.265
13.766,36.533,50.299
14.783,35.550,50.333
15.840,34.527,50.367
16.935,33.467,50.401
18.063,32.373,50.436
19.222,31.248,50.470
20.409,30.096,50.505
21.620,28.919,50.540
22.853,27.722,50.575
24.102,26.507,50.609
25.365,25.279,50.644
26.639,24.041,50.680
27.918,22.797,50.715
29.199,21.551,50.750
30.479,20.306,50.785
31.753,19.067,50.820
33.018,17.837,50.856
34.270,16.621,50.891
35.505,15.422,50.926
36.719,14.243,50.962
37.908,13.090,50.997
39.069,11.964,51.033
40.198,10.871,51.068
41.291,9.813,51.104
42.346,8.793,51.140
43.359,7.816,51.175
44.326,6.885,51.211
45.245,6.001,51.247
46.113,5.169,51.282
46.927,4.391,51.318
47.684,3.670,51.354
48.382,3.007,51.390
49.019,2.406,51.426
49.593,1.868,51.462
50.102,1.395,51.497
50.544,0.989,51.533
50.918,0.651,51.569
51.223,0.383,51.605
51.457,0.185,51.641
51.620,0.058,51.677
51.711,0.003,51.713
51.730,0.020,51.750
51.677,0.109,51.786
51.552,0.270,51.822
51.355,0.503,51.858
51.087,0.808,51.894
50.748,1.182,51.931
50.340,1.627,51.967
49.864,2.139,52.003
49.321,2.718,52.039
48.713,3.362,52.076
48.042,4.070,52.112
47.310,4.839,52.149
46.519,5.666,52.185
45.671,6.550,52.222
44.770,7.488,52.258
43.818,8.477,52.295
42.817,9.514,52.331
41.772,10.596,52.368
40.685,11.720,52.404
39.559,12.882,52.441
38.399,14.079,52.478
37.208,15.307,52.514
35.989,16.562,52.551
34.746,17.841,52.588
33.484,19.141,52.624
32.206,20.455,52.661
30.916,21.782,52.698
29.618,23.117,52.735
28.316,24.455,52.771
27.015,25.794,52.808
25.717,27.127,52.845
24.428,28.453,52.882
23.152,29.767,52.918
21.891,31.064,52.955
20.651,32.341,52.992
19.434,33.595,53.028
18.244,34.821,53.065
17.086,36.016,53.101
15.962,37.176,53.138
14.875,38.299,53.174
13.829,39.381,53.210
12.827,40.419,53.246
11.871,41.411,53.282
10.963,42.354,53.318
10.107,43.246,53.353
9.303,44.085,53.388
8.554,44.869,53.422
7.860,45.597,53.456
7.222,46.268,53.490
6.642,46.881,53.523
6.119,47.436,53.555
5.652,47.933,53.585
5.241,48.374,53.615
4.885,48.759,53.644
4.582,49.089,53.671
4.330,49.367,53.697
4.126,49.595,53.722
3.969,49.776,53.745
3.855,49.911,53.766
3.783,50.004,53.787
3.752,50.056,53.807
3.760,50.067,53.827
3.808,50.039,53.847
3.898,49.970,53.868
4.030,49.860,53.890
4.208,49.705,53.913
4.433,49.505,53.938
4.709,49.255,53.964
5.037,48.954,53.992
5.421,48.600,54.021
5.861,48.190,54.051
6.359,47.723,54.083
6.916,47.198,54.115
7.533,46.615,54.148
8.209,45.973,54.182
8.945,45.272,54.217
9.738,44.514,54.252
10.589,43.699,54.288
11.495,42.829,54.324
12.455,41.905,54.360
13.466,40.931,54.397
14.527,39.907,54.434
15.635,38.836,54.471
16.786,37.722,54.508
17.979,36.567,54.546
19.208,35.375,54.584
20.472,34.149,54.621
21.767,32.892,54.659
23.088,31.609,54.697
24.433,30.302,54.735
25.797,28.977,54.774
27.175,27.636,54.812
28.565,26.285,54.850
29.962,24.927,54.889
31.361,23.566,54.927
32.759,22.206,54.966
34.151,20.853,55.004
35.533,19.510,55.043
36.901,18.181,55.081
38.250,16.870,55.120
39.576,15.583,55.159
40.876,14.322,55.198
42.145,13.092,55.236
43.379,11.897,55.275
44.574,10.740,55.314
45.727,9.626,55.353
46.835,8.557,55.392
47.892,7.539,55.431
48.898,6.573,55.470
49.847,5.662,55.509
50.737,4.811,55.548
51.565,4.022,55.587
52.329,3.297,55.626
53.027,2.639,55.666
53.655,2.050,55.705
